[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 66 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 265 bytes
[21:24:50] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 264 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1124 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 784 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 66 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 116 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 265 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 263 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 20.207.73.85 -> 192.168.0.100 | Ports 443 -> 50311 | Size: 452 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1248 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 255 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 192.168.0.100 -> 4.225.11.192 | Ports 50308 -> 443 | Size: 406 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1248 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 104 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 252 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 192.168.0.100 -> 140.82.114.22 | Ports 50313 -> 443 | Size: 66 bytes
[21:24:50] TCP | 192.168.0.100 -> 20.207.73.85 | Ports 50311 -> 443 | Size: 54 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 269 bytes
[21:24:50] TCP | 192.168.0.100 -> 20.207.73.85 | Ports 50314 -> 443 | Size: 66 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 153 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 100 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:50] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 102 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 120 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 253 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 958 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 959 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 257 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 263 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 256 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 959 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:51] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 66 bytes
[21:24:51] TCP | 20.207.73.85 -> 192.168.0.100 | Ports 443 -> 50314 | Size: 66 bytes
[21:24:51] TCP | 192.168.0.100 -> 20.207.73.85 | Ports 50314 -> 443 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 20.207.73.85 | Ports 50314 -> 443 | Size: 571 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 108 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 104 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 248 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 938 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 410 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 66 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 126 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 245 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 268 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 270 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 108 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1138 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1136 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1138 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 279 bytes
[21:24:51] TCP | 20.207.73.85 -> 192.168.0.100 | Ports 443 -> 50314 | Size: 1490 bytes
[21:24:51] TCP | 4.225.11.192 -> 192.168.0.100 | Ports 443 -> 50308 | Size: 60 bytes
[21:24:51] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:51] TCP | 4.225.11.192 -> 192.168.0.100 | Ports 443 -> 50308 | Size: 354 bytes
[21:24:51] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 66 bytes
[21:24:51] TCP | 4.225.11.192 -> 192.168.0.100 | Ports 443 -> 50308 | Size: 1218 bytes
[21:24:51] TCP | 192.168.0.100 -> 4.225.11.192 | Ports 50308 -> 443 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 4.225.11.192 | Ports 50308 -> 443 | Size: 89 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 228 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 262 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 260 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 104 bytes
[21:24:51] TCP | 192.168.0.100 -> 20.207.73.85 | Ports 50314 -> 443 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 269 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1093 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 722 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 66 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1466 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 192.168.0.100 -> 140.82.114.22 | Ports 50315 -> 443 | Size: 66 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 262 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 151.101.38.172 -> 192.168.0.100 | Ports 443 -> 49810 | Size: 1494 bytes
[21:24:51] TCP | 192.168.0.100 -> 151.101.38.172 | Ports 49810 -> 443 | Size: 66 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 104 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 192.168.0.100 -> 140.82.112.22 | Ports 50310 -> 443 | Size: 78 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 106 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 128 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 285 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 262 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 917 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 901 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 902 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 267 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 60 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 271 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1368 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1145 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 1146 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 269 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 54 bytes
[21:24:51] TCP | 142.250.82.252 -> 192.168.0.100 | Ports 19305 -> 49909 | Size: 264 bytes
[21:24:51] TCP | 192.168.0.100 -> 142.250.82.252 | Ports 49909 -> 19305 | Size: 112 bytes
